what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.php.server.core,2.2.0.v20100616-1900,"org.eclipse.php.server.core",1436694791278
started,bundle,org.eclipse.php.debug.core,2.2.0.v20100616-1900,"org.eclipse.php.debug.core",1436694792396
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1436694793957
started,bundle,org.eclipse.update.core,3.2.400.v20100512,"org.eclipse.update.core",1436694794125
opened,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1436695130328
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1436695130379
activated,view,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.ui.explorer",1436695132455
closed,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1436695132455
closed,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1436695132470
started,bundle,org.eclipse.dltk.validators.ui,2.0.0.v20091214-1712,"org.eclipse.dltk.validators.ui",1436695146063
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1436695146225
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1436695151883
started,bundle,org.eclipse.jdt.core,3.6.0.v_A58,"org.eclipse.jdt.core",1436695152348
started,bundle,org.eclipse.jdt.core.manipulation,1.3.0.v20100520-0800,"org.eclipse.jdt.core.manipulation",1436695152453
started,bundle,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui",1436695152470
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1436695163164
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1436695166626
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1436695200932
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1436695207334
opened,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1436695223257
